,Mujeres de 12-49,Poblacion Total,Poblacion de 0 a 5,Personas c/religion,Personas Casadas,Personas Ocupadas,Prom. Grado Escolar,Personas C/Servicio de Salud
58261,15.456863657515123,52.0,7.459091211939503,49.0,22.0,29.0,10.37,46.0
58262,62.0,214.0,34.0,47.675835426737876,86.0,98.0,9.0,136.0
58263,100.0,311.0,41.0,265.0,145.0,150.0,9.52,243.0
58264,19.0,69.0,15.0,66.0,27.0,32.0,9.8,55.0
58265,25.0,78.0,9.0,66.0,39.0,33.0,8.89,54.0
58266,12.0,40.0,7.459091211939503,34.0,16.0,18.0,10.18,25.0
58267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58268,37.0,107.0,15.0,100.0,47.0,54.0,11.03,84.0
58269,54.0,153.0,25.0,137.0,72.0,71.0,9.04,125.0
58270,45.0,142.0,13.0,114.0,66.0,63.0,8.5,108.0
58271,49.0,155.0,26.0,134.0,69.0,70.0,9.09,101.0
58272,36.0,121.0,15.0,105.0,60.0,60.0,9.11,114.0
58273,36.0,107.0,10.0,102.0,52.0,56.0,10.81,84.0
58274,39.0,107.0,10.0,102.0,49.0,61.0,10.56,70.0
58275,58.0,186.0,32.0,47.675835426737876,91.0,85.0,8.69,139.0
58276,47.0,157.0,26.0,136.0,72.0,80.0,9.35,126.0
58277,44.0,123.0,14.0,108.0,57.0,62.0,9.75,91.0
58278,44.0,125.0,12.0,88.0,57.0,60.0,9.61,87.0
58279,42.0,107.0,13.0,98.0,44.0,46.0,9.55,73.0
58280,33.0,86.0,10.0,64.0,39.0,45.0,9.98,65.0
58281,30.0,97.0,19.0,87.0,42.0,42.0,9.61,82.0
58282,41.0,123.0,17.0,115.0,56.0,61.0,9.79,105.0
58283,39.0,123.0,15.0,112.0,52.0,56.0,9.1,86.0
58284,49.0,150.0,28.0,128.0,58.0,65.0,9.43,113.0
58285,99.0,304.0,34.0,252.0,129.0,134.0,9.12,231.0
58286,64.0,192.0,18.0,144.0,88.0,103.0,9.54,162.0
58287,53.0,177.0,39.0,159.0,84.0,64.0,9.37,141.0
58288,15.456863657515123,124.0,22.0,100.0,53.0,49.0,8.95,104.0
58289,66.0,223.0,43.0,188.0,91.0,92.0,9.52,178.0
58290,15.456863657515123,42.0,7.459091211939503,42.0,20.0,16.0,9.93,30.0
58291,15.456863657515123,51.0,8.0,44.0,21.0,15.0,9.73,34.0
58292,9.0,27.0,7.0,19.0,10.0,11.0,9.59,22.0
58293,7.0,24.0,7.459091211939503,15.0,10.0,10.0,10.07,19.0
58294,9.0,29.0,5.0,25.0,12.0,13.0,9.79,25.0
58296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58297,15.456863657515123,5.0,7.459091211939503,47.675835426737876,23.416772057729503,24.873125185625184,8.90737707938029,43.27141300936098
58298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58299,15.456863657515123,5.0,7.459091211939503,47.675835426737876,23.416772057729503,24.873125185625184,8.90737707938029,43.27141300936098
58300,15.456863657515123,5.0,7.459091211939503,47.675835426737876,23.416772057729503,24.873125185625184,8.90737707938029,43.27141300936098
58301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58302,4.0,15.0,7.459091211939503,47.675835426737876,8.0,8.0,9.0,13.0
58303,4.0,16.0,7.459091211939503,16.0,8.0,10.0,8.08,9.0
58304,15.456863657515123,4.0,7.459091211939503,47.675835426737876,23.416772057729503,24.873125185625184,8.90737707938029,43.27141300936098
58305,15.456863657515123,1.0,7.459091211939503,47.675835426737876,23.416772057729503,24.873125185625184,8.90737707938029,43.27141300936098
58306,15.456863657515123,2.0,7.459091211939503,47.675835426737876,23.416772057729503,24.873125185625184,8.90737707938029,43.27141300936098
58307,15.456863657515123,4.0,7.459091211939503,47.675835426737876,23.416772057729503,24.873125185625184,8.90737707938029,43.27141300936098
58308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58309,15.456863657515123,7.0,0.0,7.0,4.0,4.0,11.0,6.0
58310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58314,4.0,15.0,7.459091211939503,47.675835426737876,6.0,4.0,9.2,10.0
58315,9.0,28.0,3.0,18.0,10.0,19.0,6.42,12.0
58316,15.456863657515123,75.0,16.0,43.0,30.0,30.0,7.07,39.0
58317,15.456863657515123,56.0,7.459091211939503,53.0,21.0,28.0,9.58,36.0
58318,38.0,112.0,23.0,47.675835426737876,48.0,45.0,7.46,56.0
58319,31.0,88.0,16.0,60.0,34.0,35.0,8.62,56.0
58320,15.456863657515123,38.0,7.459091211939503,26.0,18.0,17.0,8.15,31.0
58321,14.0,42.0,7.459091211939503,29.0,20.0,19.0,10.17,37.0
58322,15.456863657515123,70.0,11.0,70.0,30.0,38.0,8.56,45.0
58323,29.0,92.0,12.0,90.0,36.0,40.0,9.53,69.0
58324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58326,15.456863657515123,41.0,7.459091211939503,40.0,17.0,23.0,9.26,27.0
58327,15.456863657515123,142.0,22.0,139.0,64.0,66.0,9.52,99.0
58328,15.456863657515123,71.0,8.0,69.0,36.0,34.0,9.93,52.0
58329,34.0,104.0,12.0,91.0,49.0,48.0,8.84,76.0
58330,15.456863657515123,56.0,7.459091211939503,48.0,28.0,30.0,8.98,48.0
58331,38.0,130.0,21.0,105.0,57.0,68.0,9.18,94.0
58332,39.0,116.0,9.0,83.0,58.0,62.0,8.15,79.0
58333,27.0,96.0,18.0,47.675835426737876,43.0,43.0,8.71,75.0
58334,5.0,12.0,3.0,9.0,5.0,6.0,8.67,9.0
58335,22.0,71.0,17.0,54.0,33.0,36.0,8.93,45.0
