NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,Mujeres de 12-49,Poblacion Total,Poblacion de 0 a 5,Personas c/religion,Personas Casadas,Personas s/religion,Personas Ocupadas,Personas S/Internet,Personas C/Servicio de Salud
Tabasco,1,Balancán,1,Balancán,0721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabasco,1,Balancán,1,Balancán,0721,31.772851503188583,19.0,0.0,19.0,10.0,0.0,8.0,3.0,15.0
Tabasco,1,Balancán,1,Balancán,0721,31.772851503188583,27.0,0.0,25.0,11.0,9.906078158222744,16.0,7.0,25.0
Tabasco,1,Balancán,1,Balancán,0721,17.0,56.0,7.0,43.0,21.0,13.0,22.0,12.0,11.0
Tabasco,1,Balancán,1,Balancán,0721,5.0,17.0,0.0,79.1235484742101,12.0,0.0,10.0,6.0,10.0
Tabasco,1,Balancán,1,Balancán,0721,11.0,34.0,3.0,25.0,13.0,9.0,14.0,7.0,24.0
Tabasco,1,Balancán,1,Balancán,0721,23.0,72.0,7.0,70.0,34.0,9.906078158222744,32.0,3.0,55.0
Tabasco,1,Balancán,1,Balancán,0721,31.772851503188583,37.0,3.0,37.0,14.0,0.0,17.0,13.429552281504792,32.0
Tabasco,1,Balancán,1,Balancán,0721,31.772851503188583,48.0,3.0,36.0,26.0,12.0,20.0,9.0,48.0
Tabasco,1,Balancán,1,Balancán,0721,14.0,36.0,3.0,30.0,16.0,6.0,14.0,8.0,11.0
Tabasco,1,Balancán,1,Balancán,0721,3.0,14.0,0.0,14.0,6.0,0.0,4.0,13.429552281504792,10.0
Tabasco,1,Balancán,1,Balancán,0721,3.0,10.0,0.0,10.0,7.0,0.0,5.0,13.429552281504792,9.0
Tabasco,1,Balancán,1,Balancán,0721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabasco,1,Balancán,1,Balancán,0721,9.0,22.0,0.0,22.0,8.0,0.0,12.0,0.0,22.0
Tabasco,1,Balancán,1,Balancán,0721,5.0,18.0,0.0,13.0,6.0,5.0,7.0,13.429552281504792,18.0
Tabasco,1,Balancán,1,Balancán,0721,31.772851503188583,16.0,0.0,15.0,3.0,9.906078158222744,7.0,13.429552281504792,13.0
Tabasco,1,Balancán,1,Balancán,0721,24.0,72.0,7.0,70.0,28.0,9.906078158222744,32.0,9.0,66.0
Tabasco,1,Balancán,1,Balancán,0721,11.0,29.0,3.0,29.0,15.0,0.0,13.0,4.0,29.0
Tabasco,1,Balancán,1,Balancán,0721,31.772851503188583,28.0,0.0,28.0,12.0,0.0,11.0,13.429552281504792,11.0
Tabasco,1,Balancán,1,Balancán,0721,31.772851503188583,8.0,0.0,8.0,4.0,0.0,5.0,13.429552281504792,6.0
Tabasco,1,Balancán,1,Balancán,0721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabasco,1,Balancán,1,Balancán,0736,4.0,17.0,0.0,17.0,8.0,0.0,7.0,0.0,17.0
Tabasco,1,Balancán,1,Balancán,0736,14.0,38.0,3.0,28.0,17.0,10.0,18.0,6.0,36.0
Tabasco,1,Balancán,1,Balancán,0736,12.0,35.0,7.0,29.0,18.0,6.0,20.0,13.429552281504792,35.0
Tabasco,1,Balancán,1,Balancán,0736,31.772851503188583,18.0,0.0,15.0,6.0,3.0,5.0,5.0,18.0
Tabasco,1,Balancán,1,Balancán,0736,5.0,19.0,3.0,12.0,12.0,7.0,8.0,5.0,14.0
Tabasco,1,Balancán,1,Balancán,0736,31.772851503188583,101.0,6.0,83.0,48.0,18.0,54.0,14.0,90.0
Tabasco,1,Balancán,1,Balancán,0736,31.772851503188583,78.0,8.0,68.0,38.0,10.0,38.0,13.0,64.0
Tabasco,1,Balancán,1,Balancán,0736,31.772851503188583,16.0,0.0,16.0,6.0,0.0,9.0,13.429552281504792,16.0
Tabasco,1,Balancán,1,Balancán,0755,3.0,8.0,0.0,6.0,6.0,9.906078158222744,7.0,13.429552281504792,5.0
Tabasco,1,Balancán,1,Balancán,0755,31.772851503188583,22.0,0.0,18.0,12.0,4.0,11.0,4.0,11.0
Tabasco,1,Balancán,1,Balancán,076A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabasco,1,Balancán,1,Balancán,076A,31.772851503188583,57.0,6.0,49.0,22.0,8.0,22.0,7.0,32.0
